State,Month,Particulate Matter(PM),Carbon  Monoxide(CO),Nitrogen Dioxide(NO2),Sulfur Dioxide(SO2),Volatie Organic Compounds(VOCs),Ground-level Ozone(O3)
Sabah,2024-04,22,0.63,14,3,33,33
Sabah,2024-05,19.2,0.59,10,3,35,37
Sabah,2024-06,26.3,0.59,12,2,31,32
Sabah,2024-07,26.2,0.83,11,1,32,37
Sabah,2024-08,22.3,0.63,14,3,33,30
Sabah,2024-09,24.4,0.69,11,1,30,27
Sabah,2024-10,25.4,0.7,13,4,28,27
Sabah,2024-11,25.8,0.69,10,2,34,31
Sabah,2024-12,20,0.64,15,2,34,27
Sarawak,2024-01,24.7,0.49,16,4,43,35
Sarawak,2024-02,21.1,0.35,12,4,38,28
Sarawak,2024-03,25,0.46,16,4,48,42
Sarawak,2024-04,24.9,0.53,17,3,50,37
Sarawak,2024-05,26.2,0.5,23,3,46,39
Sarawak,2024-06,25.6,0.49,17,4,39,33
Sarawak,2024-07,31.3,0.53,20,2,39,34
Sarawak,2024-08,32.3,0.58,17,3,40,33
Sarawak,2024-09,30.3,0.66,20,6,41,34
Sarawak,2024-10,24.7,0.41,19,4,38,26
Sarawak,2024-11,23.7,0.38,14,3,38,39
Sarawak,2024-12,22,0.38,16,5,38,30
